Creator | HOW TO USE THIS LIST,Form_url(Will Be Hidden),OiaSS Rating,Rated On,Community Rating,No Cloud Backup,Minor errors,Unorganized files,No renders,No slicer files,Unsupported islands,Unsupported Files,Print Failures,Major errors,Submit Rating,Last Update Time,
Atlan Forge,https://docs.google.com/forms/d/16PqYkBS-y3sAWgZDCLAZWmriXC-iluhTFBuu9l1E_k0/edit,,,B TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Avatars of War,https://docs.google.com/forms/d/1kwjI__-WsC6IEGJbOWUWsayMHgkGzc-O-jelk4OOIbg/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Awkward Penguin's Minis,https://docs.google.com/forms/d/1Kxq-bDgjEo3EpA3rDqbCiwbKFaXVzixBaNWb2VrAR9U/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Battle Yak Miniatures,https://docs.google.com/forms/d/16QKKsVWa6ffpJSLr5cEAOBfRu5SIGHdOmlk-i4xyTHY/edit,,,B TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
BeastMaster Miniatures,https://docs.google.com/forms/d/1R_4kqCqrTX5gRf8NqRHAATg6649dO2TpsiY1rMlDrJ4/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Beastmode Miniatures,https://docs.google.com/forms/d/1RJ3o_KXcfH0TtgM_82nxUOAWjP2X7OmpfxoQOoWybvo/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Behold'ur Craft,https://docs.google.com/forms/d/1x_aQ0KE9dzFeLYZSI8Ecr0Zyr6xlxUNs9pw8Sm3Tiok/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Belksasar 3D Print,https://docs.google.com/forms/d/1w9KsWY4pr1IpjFjb8dYsjYG7xrx7SFPUPwE9lk6KB-E/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Bella Nacht Miniatures,https://docs.google.com/forms/d/1AmjrOXXHKBFh9HhIIexq_bjTqlAkRInccGc6c-WfEF0/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Bestiarum Miniatures,https://docs.google.com/forms/d/1CDH2OTi3sILnLHs3ReAVi3QQSLsP6bAtLgB9YCinaOU/edit,,,A TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Bite the Bullet,https://docs.google.com/forms/d/1ZH7qvXPnwmSsDkU8okQrNtZVQSepfoi-eQUQiHm5XAs/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Blascool Studios,https://docs.google.com/forms/d/10QjcxvrPTZJAVqoP0OPYZAbQezmf3tbMzxaYXnvcBFM/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
bLUARt,https://docs.google.com/forms/d/12-_gJ4EvL-ooMqZH6kIInaPMmmSA2-rcKZdgTC1Vbe4/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Blue Sky Minis,https://docs.google.com/forms/d/199_MiGHanK67w0kW4mPC-1-tFMXFb6TiXobBLH-fwQU/edit,,,A TIER,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Blue Wolf Miniatures,https://docs.google.com/forms/d/1T-7UF7MX8nf_rU6Tw2x_M-qhRQ9jG-pxKyofRP6pmjA/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
BlueWyvern,https://docs.google.com/forms/d/124QMiNpnVhMjzciHsNWfgsVsorplTFGyOpgP9HFvdM0/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Bombshell Miniatures,https://docs.google.com/forms/d/1rtbLYpxdV8Th73EzG0e0jPA1HPBqwjO4dHbF-NRRcO0/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Breachstorm,https://docs.google.com/forms/d/1Cv4YbUUCz7tSQhGkWHDnKu8d0qObgjyOeC6nKSIRGOI/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Broken Anvil Monthly,https://docs.google.com/forms/d/1anG340Mljjy_10Ztp5PCqajXBJIahctA7AR3q8kpN78/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Bulwark Gaming,https://docs.google.com/forms/d/1IObJOSf4Fpqh-Ua4GlnmxTDGXTAERQdLYul5ATcTVCk/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
C27 Minis & Terrain,https://docs.google.com/forms/d/1avK89kLU_2s74OwsJeLyiBXJtG9IBsiP7I1nZJnTioY/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
C2Dwellers,https://docs.google.com/forms/d/1CiXOjN9QnukEsRjdAx3bMcTTuoypz3IQIV9v-CzroDA/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Caleb Makes Minis,https://docs.google.com/forms/d/1R6KPcSGmkupuZevImVx_j4PTED2GIspMLTmUzEJndO4/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Caledonia Miniatures,https://docs.google.com/forms/d/1ImLeSka3JYvuyeSUHg-TTLMKsOa725qj11jrDJa7Vu8/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Can Of Worms,https://docs.google.com/forms/d/1Fjd5gRsjhwlub67vm-JL-Y4lZrYB4wV8rDBo306n5DA/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Cast n Play,https://docs.google.com/forms/d/1CTi5wfBGSw0H8GcpiErw0qtwhPV01CEk-ei4p0-yooI/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Claudio Casini Art,https://docs.google.com/forms/d/1C9gIhjmrKkxRTCtAvjSQtJgtICM-6PGQc58lv7T902s/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
Clay Cyanide Miniatures,https://docs.google.com/forms/d/1N03YIDw_FOyWTpVqAvq9mYDwmIYoue86sLKOp0e-2Zk/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
ClayBeastCreation,https://docs.google.com/forms/d/1rHjk1Q11APBKOE_fWH4jPE16plpJ-vylu4I6kek7nGc/edit,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Click Here,11/11/2022,
